iter	Passed	Remaining
0	3	301
1	5	270
2	7	255
3	9	239
4	12	235
5	15	238
6	17	237
7	20	232
8	21	222
9	24	220
10	26	214
11	28	208
12	30	204
13	33	203
14	35	198
15	36	192
16	38	190
17	40	183
18	42	180
19	44	178
20	46	174
21	47	169
22	49	166
23	51	162
24	53	159
25	55	156
26	56	152
27	58	149
28	59	145
29	61	143
30	62	139
31	64	136
32	66	134
33	67	131
34	69	128
35	70	125
36	71	122
37	73	119
38	75	117
39	76	115
40	78	112
41	78	108
42	80	106
43	81	103
44	82	101
45	83	98
46	85	96
47	86	94
48	88	91
49	90	90
50	91	87
51	92	85
52	94	84
53	96	82
54	97	79
55	98	77
56	100	75
57	101	73
58	102	71
59	104	69
60	106	67
61	107	66
62	108	63
63	110	62
64	111	60
65	113	58
66	114	56
67	116	54
68	117	52
69	119	51
70	120	49
71	121	47
72	122	45
73	124	43
74	125	41
75	126	39
76	128	38
77	129	36
78	131	34
79	132	33
80	134	31
81	136	29
82	137	28
83	138	26
84	140	24
85	141	23
86	143	21
87	144	19
88	146	18
89	147	16
90	149	14
91	151	13
92	152	11
93	153	9
94	155	8
95	156	6
96	158	4
97	159	3
98	161	1
99	163	0
